module,attributes,sample,metric,score
aaa,asmt,non-smote,accuracy,0.9661016949152542
aaa,asmt,non-smote,fscore,0.0
aaa,asmt,non-smote,precision,0.0
aaa,asmt,non-smote,recall,0.0
aaa,stdnt,non-smote,accuracy,0.9661016949152542
aaa,stdnt,non-smote,fscore,0.0
aaa,stdnt,non-smote,precision,0.0
aaa,stdnt,non-smote,recall,0.0
aaa,abd,non-smote,accuracy,0.9654237288135593
aaa,abd,non-smote,fscore,0.0
aaa,abd,non-smote,precision,0.0
aaa,abd,non-smote,recall,0.0
aaa,abi,non-smote,accuracy,0.9647457627118644
aaa,abi,non-smote,fscore,0.0
aaa,abi,non-smote,precision,0.0
aaa,abi,non-smote,recall,0.0
aaa,asmt_stdnt,non-smote,accuracy,0.9661016949152542
aaa,asmt_stdnt,non-smote,fscore,0.0
aaa,asmt_stdnt,non-smote,precision,0.0
aaa,asmt_stdnt,non-smote,recall,0.0
aaa,asmt_abd,non-smote,accuracy,0.9661016949152542
aaa,asmt_abd,non-smote,fscore,0.0
aaa,asmt_abd,non-smote,precision,0.0
aaa,asmt_abd,non-smote,recall,0.0
aaa,asmt_abi,non-smote,accuracy,0.9667796610169491
aaa,asmt_abi,non-smote,fscore,0.0013550135501355014
aaa,asmt_abi,non-smote,precision,0.02
aaa,asmt_abi,non-smote,recall,1.0
aaa,stdnt_abd,non-smote,accuracy,0.9661016949152542
aaa,stdnt_abd,non-smote,fscore,0.0
aaa,stdnt_abd,non-smote,precision,0.0
aaa,stdnt_abd,non-smote,recall,0.0
aaa,stdnt_abi,non-smote,accuracy,0.9661016949152542
aaa,stdnt_abi,non-smote,fscore,0.0
aaa,stdnt_abi,non-smote,precision,0.0
aaa,stdnt_abi,non-smote,recall,0.0
aaa,asmt_stdnt_abd,non-smote,accuracy,0.9661016949152542
aaa,asmt_stdnt_abd,non-smote,fscore,0.0
aaa,asmt_stdnt_abd,non-smote,precision,0.0
aaa,asmt_stdnt_abd,non-smote,recall,0.0
aaa,asmt_stdnt_abi,non-smote,accuracy,0.9661016949152542
aaa,asmt_stdnt_abi,non-smote,fscore,0.0
aaa,asmt_stdnt_abi,non-smote,precision,0.0
aaa,asmt_stdnt_abi,non-smote,recall,0.0
bbb,asmt,non-smote,accuracy,0.8853485838779956
bbb,asmt,non-smote,fscore,0.0
bbb,asmt,non-smote,precision,0.0
bbb,asmt,non-smote,recall,0.0
bbb,stdnt,non-smote,accuracy,0.8819444444444444
bbb,stdnt,non-smote,fscore,0.0016326530612244899
bbb,stdnt,non-smote,precision,0.007125890736342043
bbb,stdnt,non-smote,recall,0.16216216216216217
bbb,abd,non-smote,accuracy,0.8822167755991286
bbb,abd,non-smote,fscore,0.0
bbb,abd,non-smote,precision,0.0
bbb,abd,non-smote,recall,0.0
bbb,abi,non-smote,accuracy,0.8853485838779956
bbb,abi,non-smote,fscore,0.0
bbb,abi,non-smote,precision,0.0
bbb,abi,non-smote,recall,0.0
bbb,asmt_stdnt,non-smote,accuracy,0.8849400871459695
bbb,asmt_stdnt,non-smote,fscore,0.0
bbb,asmt_stdnt,non-smote,precision,0.0
bbb,asmt_stdnt,non-smote,recall,0.0
bbb,asmt_abd,non-smote,accuracy,0.8788126361655774
bbb,asmt_abd,non-smote,fscore,0.0
bbb,asmt_abd,non-smote,precision,0.0
bbb,asmt_abd,non-smote,recall,0.0
bbb,asmt_abi,non-smote,accuracy,0.8770424836601307
bbb,asmt_abi,non-smote,fscore,0.0002722940776038121
bbb,asmt_abi,non-smote,precision,0.0011876484560570072
bbb,asmt_abi,non-smote,recall,0.015873015873015872
bbb,stdnt_abd,non-smote,accuracy,0.8826252723311547
bbb,stdnt_abd,non-smote,fscore,0.0013607293509320995
bbb,stdnt_abd,non-smote,precision,0.0059382422802850355
bbb,stdnt_abd,non-smote,recall,0.16666666666666666
bbb,stdnt_abi,non-smote,accuracy,0.8837145969498911
bbb,stdnt_abi,non-smote,fscore,0.0010887316276537834
bbb,stdnt_abi,non-smote,precision,0.004750593824228029
bbb,stdnt_abi,non-smote,recall,0.2
bbb,asmt_stdnt_abd,non-smote,accuracy,0.8852124183006536
bbb,asmt_stdnt_abd,non-smote,fscore,0.0
bbb,asmt_stdnt_abd,non-smote,precision,0.0
bbb,asmt_stdnt_abd,non-smote,recall,0.0
bbb,asmt_stdnt_abi,non-smote,accuracy,0.8852124183006536
bbb,asmt_stdnt_abi,non-smote,fscore,0.0
